sub,sess,run,trial_num,cond,task,RT,acc,mult_cond
107,Pre,1,2,3,shape,1.0972,1,multi-second
107,Pre,1,2,3,sound,1.0742,1,multi-first
107,Pre,1,3,1,shape,1.2342,1,single
107,Pre,1,4,3,shape,2.1192,1,multi-first
107,Pre,1,4,3,sound,2.1423,1,multi-second
107,Pre,1,5,3,shape,2.0369,1,multi-first
107,Pre,1,5,3,sound,2.0389,1,multi-second
107,Pre,1,6,1,shape,1.0313,1,single
107,Pre,1,7,2,sound,1.9735,1,single
107,Pre,1,8,2,sound,1.8173,1,single
107,Pre,1,11,3,shape,2.6964,1,multi-second
107,Pre,1,11,3,sound,2.6394,1,multi-first
107,Pre,1,12,2,sound,1.5386,1,single
107,Pre,1,14,2,sound,1.3717,1,single
107,Pre,1,15,2,sound,1.516,1,single
107,Pre,1,16,1,shape,1.0156,1,single
107,Pre,1,17,3,shape,2.8368,1,multi-second
107,Pre,1,17,3,sound,2.8258,1,multi-first
107,Pre,1,18,1,shape,0.9417,1,single
107,Pre,2,1,1,shape,0.79753,1,single
107,Pre,2,2,2,sound,1.4187,1,single
107,Pre,2,3,3,shape,2.7265,1,multi-second
107,Pre,2,3,3,sound,2.6445,1,multi-first
107,Pre,2,4,3,shape,2.7384,1,multi-first
107,Pre,2,4,3,sound,2.7594,1,multi-second
107,Pre,2,5,1,shape,0.92131,1,single
107,Pre,2,6,3,shape,2.5446,1,multi-first
107,Pre,2,6,3,sound,2.5696,1,multi-second
107,Pre,2,7,1,shape,0.81191,1,single
107,Pre,2,8,2,sound,1.295,1,single
107,Pre,2,9,1,shape,1.9213,1,single
107,Pre,2,10,3,shape,1.9846,1,multi-first
107,Pre,2,10,3,sound,2.0026,1,multi-second
107,Pre,2,11,1,shape,0.89436,1,single
107,Pre,2,12,2,sound,1.5753,1,single
107,Pre,2,14,2,sound,1.2833,1,single
107,Pre,2,15,3,shape,1.9534,1,multi-first
107,Pre,2,15,3,sound,1.9654,1,multi-second
107,Pre,2,16,3,shape,1.6564,1,multi-first
107,Pre,2,16,3,sound,1.6624,1,multi-second
107,Pre,2,17,2,sound,0.97903,1,single
107,Pre,2,18,2,sound,1.2703,1,single
107,Pre,3,1,1,shape,1.3301,1,single
107,Pre,3,2,1,shape,0.92118,1,single
107,Pre,3,3,2,sound,1.1693,1,single
107,Pre,3,4,1,shape,0.80422,1,single
107,Pre,3,5,3,shape,1.5063,1,multi-second
107,Pre,3,5,3,sound,1.4783,1,multi-first
107,Pre,3,6,2,sound,1.2658,1,single
107,Pre,3,7,2,sound,1.0912,1,single
107,Pre,3,8,1,shape,1.2203,1,single
107,Pre,3,9,2,sound,1.0134,1,single
107,Pre,3,10,2,sound,1.0223,1,single
107,Pre,3,11,3,shape,2.1289,1,multi-first
107,Pre,3,11,3,sound,2.2089,1,multi-second
107,Pre,3,12,3,shape,1.101,1,multi-first
107,Pre,3,12,3,sound,1.152,1,multi-second
107,Pre,3,13,1,shape,1.0062,1,single
107,Pre,3,14,1,shape,1.4782,1,single
107,Pre,3,15,3,shape,2.1292,1,multi-second
107,Pre,3,15,3,sound,2.1132,1,multi-first
107,Pre,3,16,3,shape,2.0591,1,multi-first
107,Pre,3,16,3,sound,2.1031,1,multi-second
107,Pre,3,17,2,sound,1.3412,1,single
107,Pre,3,18,3,shape,2.8378,1,multi-second
107,Pre,3,18,3,sound,2.8188,1,multi-first
107,Pre,4,1,2,sound,0.93464,1,single
107,Pre,4,2,3,shape,1.5941,1,multi-second
107,Pre,4,2,3,sound,1.5861,1,multi-first
107,Pre,4,3,1,shape,1.3529,1,single
107,Pre,4,4,1,shape,0.79302,1,single
107,Pre,4,5,1,shape,0.99301,1,single
107,Pre,4,6,3,shape,2.082,1,multi-first
107,Pre,4,6,3,sound,2.103,1,multi-second
107,Pre,4,7,3,shape,3.0891,1,multi-second
107,Pre,4,7,3,sound,3.0521,1,multi-first
107,Pre,4,8,3,shape,2.8551,1,multi-first
107,Pre,4,8,3,sound,2.8811,1,multi-second
107,Pre,4,9,1,shape,0.87232,1,single
107,Pre,4,10,1,shape,0.73611,1,single
107,Pre,4,11,2,sound,1.4672,1,single
107,Pre,4,12,3,shape,2.9892,1,multi-first
107,Pre,4,12,3,sound,3.0442,1,multi-second
107,Pre,4,13,2,sound,1.0785,1,single
107,Pre,4,14,2,sound,0.70188,1,single
107,Pre,4,15,2,sound,0.864,1,single
107,Pre,4,16,1,shape,1.0129,1,single
107,Pre,4,17,2,sound,1.0399,1,single
107,Pre,4,18,3,shape,1.6561,1,multi-first
107,Pre,4,18,3,sound,1.6781,1,multi-second
107,Pre,5,1,3,shape,2.2239,1,multi-second
107,Pre,5,1,3,sound,2.2019,1,multi-first
107,Pre,5,2,3,shape,2.7905,1,multi-second
107,Pre,5,2,3,sound,2.7765,1,multi-first
107,Pre,5,3,1,shape,1.1864,1,single
107,Pre,5,4,1,shape,0.73712,1,single
107,Pre,5,5,1,shape,0.57371,1,single
107,Pre,5,6,2,sound,1.1678,1,single
107,Pre,5,7,2,sound,1.0368,1,single
107,Pre,5,8,3,shape,2.613,1,multi-second
107,Pre,5,8,3,sound,2.386,1,multi-first
107,Pre,5,9,2,sound,1.0572,1,single
107,Pre,5,10,3,shape,1.5457,1,multi-second
107,Pre,5,10,3,sound,1.5247,1,multi-first
107,Pre,5,11,1,shape,1.2173,1,single
107,Pre,5,13,3,shape,1.5986,1,multi-first
107,Pre,5,13,3,sound,1.6146,1,multi-second
107,Pre,5,14,2,sound,1.2525,1,single
107,Pre,5,15,1,shape,0.7765,1,single
107,Pre,5,16,3,shape,1.6865,1,multi-second
