sub,sess,mult_cond,CV,group,cort_to_Put,cort_to_CN
246,Pre,multi-second,0.2377103215668485,control,-0.580358861421163,0.695627546205131
247,Pre,single,0.29680206884391047,control,0.654094547800522,-0.828563389371972
247,Pre,multi-first,0.27714024776006907,control,0.654094547800522,-0.828563389371972
247,Pre,multi-second,0.21498144557242405,control,0.654094547800522,-0.828563389371972
248,Pre,single,0.26795519800195056,control,-0.178551807987919,0.367771183554464
248,Pre,multi-first,0.2410202786824918,control,-0.178551807987919,0.367771183554464
248,Pre,multi-second,0.17578109408893064,control,-0.178551807987919,0.367771183554464
249,Pre,single,0.2716996583178956,control,-1.06734313220665,-0.355543914011917
249,Pre,multi-first,0.18962745578004916,control,-1.06734313220665,-0.355543914011917
249,Pre,multi-second,0.15931242206809781,control,-1.06734313220665,-0.355543914011917
250,Pre,single,0.1595447907837011,control,-1.7724751972205,-0.47982283511267
250,Pre,multi-first,0.20510039478068653,control,-1.7724751972205,-0.47982283511267
250,Pre,multi-second,0.13496393092233708,control,-1.7724751972205,-0.47982283511267
