sub,sess,condition,muRatio,group,cort_to_Put,cort_to_CN
101,Pre,MT1,1.4555239276847871,practice,0.752828099727379,-0.698470127556358
101,Pre,MT2,1.4992943239652539,practice,0.752828099727379,-0.698470127556358
104,Pre,MT1,1.2882558106888735,practice,-1.49472258837961,0.446773296492803
104,Pre,MT2,1.4812310445023955,practice,-1.49472258837961,0.446773296492803
105,Pre,MT1,1.6629910721042649,practice,-0.608077900334083,-1.59781204126809
105,Pre,MT2,1.8077894001769377,practice,-0.608077900334083,-1.59781204126809
107,Pre,MT1,1.8141472579602853,practice,1.14807748778526,0.288765952877068
107,Pre,MT2,1.84916181580103,practice,1.14807748778526,0.288765952877068
108,Pre,MT1,1.6446058233359155,practice,0.710704462040116,-0.0179460858967451
108,Pre,MT2,1.6598440347718018,practice,0.710704462040116,-0.0179460858967451
110,Pre,MT1,1.4818606132324343,practice,-0.460032612126875,0.324373550777549
110,Pre,MT2,1.6882481919969248,practice,-0.460032612126875,0.324373550777549
111,Pre,MT1,1.684481892150675,practice,-0.590715484131857,0.863219523113641
111,Pre,MT2,1.7806477419146334,practice,-0.590715484131857,0.863219523113641
112,Pre,MT1,1.5536924076625074,practice,1.38918930022805,-1.82052027673996
112,Pre,MT2,1.590199587856118,practice,1.38918930022805,-1.82052027673996
113,Pre,MT1,1.4932811823979026,practice,-1.85470616799903,-0.639749612250895
113,Pre,MT2,1.5031286304035834,practice,-1.85470616799903,-0.639749612250895
114,Pre,MT1,1.5005266647736237,practice,0.203774672876373,1.21456253093143
114,Pre,MT2,1.5390425429451797,practice,0.203774672876373,1.21456253093143
115,Pre,MT1,1.0239853668812433,practice,-0.499509351075311,0.243681396190288
115,Pre,MT2,1.3293824188697594,practice,-0.499509351075311,0.243681396190288
117,Pre,MT1,1.0681991839627043,practice,-0.704451044586437,-0.572852256329148
117,Pre,MT2,1.5042591703147836,practice,-0.704451044586437,-0.572852256329148
118,Pre,MT1,1.429239000313699,practice,-0.852409080639774,0.359598715626993
118,Pre,MT2,1.4610399713008333,practice,-0.852409080639774,0.359598715626993
119,Pre,MT1,1.2235567453732017,practice,0.390332020487801,0.911101558665403
119,Pre,MT2,1.5811065198087888,practice,0.390332020487801,0.911101558665403
120,Pre,MT1,1.149045148362009,practice,1.52627293500657,0.631507812513872
120,Pre,MT2,1.203524413597088,practice,1.52627293500657,0.631507812513872
121,Pre,MT1,1.1708420298979625,practice,-0.53096077541706,0.582442748538482
121,Pre,MT2,1.6236612688920424,practice,-0.53096077541706,0.582442748538482
122,Pre,MT1,1.4818373048551232,practice,-0.370242311853698,-0.992177733935694
122,Pre,MT2,1.6509325003151583,practice,-0.370242311853698,-0.992177733935694
123,Pre,MT1,1.0237997074721592,practice,-0.266104322081583,1.99561832571339
123,Pre,MT2,1.423473470125303,practice,-0.266104322081583,1.99561832571339
124,Pre,MT1,1.3297318799969273,practice,-0.252130566123317,-0.179423323093696
124,Pre,MT2,1.3574324666955233,practice,-0.252130566123317,-0.179423323093696
126,Pre,MT1,0.9997431648352842,practice,-0.182669321970157,0.912013311307516
126,Pre,MT2,1.7722082326856214,practice,-0.182669321970157,0.912013311307516
127,Pre,MT1,1.4072656837386952,practice,0.996259385466626,-0.183930856821656
127,Pre,MT2,1.4993082233524813,practice,0.996259385466626,-0.183930856821656
129,Pre,MT1,1.830926862609402,practice,0.206445368202492,-0.248037914561443
129,Pre,MT2,2.2719311883116804,practice,0.206445368202492,-0.248037914561443
130,Pre,MT1,1.4095971450151628,practice,-0.428253999669856,-0.6730635554503
130,Pre,MT2,1.4687538824111774,practice,-0.428253999669856,-0.6730635554503
