sub,block,rest_block,trial_num,set_size,targ_or,resp,RT
201,1,10,18,16,2,2,0.75105
201,1,11,1,8,1,1,0.6839
201,1,11,2,12,2,2,0.73558
201,1,11,3,16,1,1,1.0646
201,1,11,4,16,1,1,1.2546
201,1,11,5,16,2,2,1.6392
201,1,11,6,16,2,2,1.6304
201,1,11,7,12,1,1,0.76052
201,1,11,8,12,1,1,0.9275
201,1,11,9,16,1,1,0.98322
201,1,11,10,16,2,2,0.75115
201,1,11,11,8,2,2,0.72012
201,1,11,12,8,2,2,1.0882
201,1,11,13,12,1,1,1.832
201,1,11,14,8,1,1,1.1757
201,1,11,15,12,1,1,1.0395
201,1,11,16,8,1,1,0.98412
201,1,11,17,8,2,2,0.91206
201,1,11,18,12,1,1,1.0954
201,1,12,1,16,2,0,0
201,1,12,2,8,2,1,0.93933
201,1,12,3,12,1,2,0.99092
201,1,12,4,16,1,0,0
201,1,12,5,12,2,2,1.2789
201,1,12,6,8,1,2,1.4162
201,1,12,7,16,2,0,0
201,1,12,8,8,1,1,1.6392
201,1,12,9,8,1,1,0.83293
201,1,12,10,12,1,1,0.88713
201,1,12,11,12,1,2,1.8405
201,1,12,12,12,1,1,1.3586
201,1,12,13,8,1,1,1.0321
201,1,12,14,16,2,2,1.239
201,1,12,15,8,2,1,1.184
201,1,12,16,16,1,2,1.5352
201,1,12,17,16,2,1,1.0955
201,1,12,18,12,2,2,1.446
201,1,13,1,16,1,1,1.5155
201,1,13,2,12,1,1,0.89575
201,1,13,3,8,2,2,0.6719
201,1,13,4,8,2,2,1.3357
201,1,13,5,16,1,1,1.848
201,1,13,6,12,2,2,0.80759
201,1,13,7,8,1,1,1.3997
201,1,13,8,12,1,1,0.93566
201,1,13,9,8,2,2,0.59212
201,1,13,10,12,2,2,0.87993
201,1,13,11,12,2,2,0.63196
201,1,13,12,16,1,1,1.4634
201,1,13,13,8,2,2,1.0003
201,1,13,14,12,2,2,1.6876
201,1,13,15,8,1,1,0.83246
201,1,13,16,16,1,0,0
201,1,13,17,16,1,2,0.99085
201,1,13,18,16,2,2,1.5758
201,1,14,1,12,1,1,1.0747
201,1,14,2,12,2,2,0.69626
201,1,14,3,8,2,2,0.7516
201,1,14,4,8,1,1,1.2487
201,1,14,5,16,1,2,1.5835
201,1,14,6,12,2,2,1.6474
201,1,14,7,8,2,2,0.67998
201,1,14,8,8,1,1,1.0644
201,1,14,9,8,2,2,0.71224
201,1,14,10,16,1,1,0.78292
201,1,14,11,12,1,1,1.3999
201,1,14,12,16,2,2,1.1426
201,1,14,13,12,1,1,1.48
201,1,14,14,8,2,1,1.1037
201,1,14,15,16,1,1,1.2791
201,1,14,16,16,1,1,1.2313
201,1,14,17,12,1,1,1.1681
201,1,14,18,16,1,1,1.0391
201,1,15,1,12,2,2,1.7717
201,1,15,2,16,1,1,0.92776
201,1,15,3,12,1,1,1.6636
201,1,15,4,8,1,1,0.87971
201,1,15,5,8,2,2,0.62491
201,1,15,6,16,2,2,1.2159
201,1,15,7,12,2,2,1.1274
201,1,15,8,16,1,1,1.384
201,1,15,9,8,2,2,0.74456
201,1,15,10,12,2,2,1.2243
201,1,15,11,12,2,2,1.3032
201,1,15,12,8,1,1,0.89581
201,1,15,13,12,2,2,1.1914
201,1,15,14,16,2,1,1.16
201,1,15,15,16,2,2,1.1912
201,1,15,16,16,1,1,1.2074
201,1,15,17,8,1,1,1.1928
201,1,15,18,8,2,2,1.2076
201,1,16,1,16,2,2,0.95553
201,1,16,2,12,1,1,0.99119
201,1,16,3,12,1,1,0.75183
201,1,16,4,12,2,2,0.67169
201,1,16,5,12,2,2,0.91159
201,1,16,6,12,1,1,1.1277
201,1,16,7,8,2,2,0.88812
201,1,16,8,16,1,1,1.0558
201,1,16,9,12,2,2,0.95966
201,1,16,10,16,2,2,0.75986
201,1,16,11,8,2,2,1.016
201,1,16,12,8,2,2,0.70457
201,1,16,13,8,1,1,0.73632
201,1,16,14,16,2,2,0.89554
201,1,16,15,8,1,2,1.2396
201,1,16,16,16,2,2,1.1832
201,1,16,17,16,2,2,1.0079
201,1,16,18,8,1,1,1.1758
201,1,17,1,8,2,2,1.1635
201,1,17,2,8,2,2,0.75227
201,1,17,3,8,2,2,0.80805
201,1,17,4,12,1,1,0.73528
201,1,17,5,16,1,1,1.8158
201,1,17,6,16,2,2,1.3275
201,1,17,7,12,1,1,0.9599
201,1,17,8,12,1,1,1.3436
201,1,17,9,12,2,2,0.74455
201,1,17,10,16,2,2,1.2703
201,1,17,11,16,2,2,1.0232
201,1,17,12,8,1,1,1.0243
201,1,17,13,8,2,2,1.3918
201,1,17,14,12,2,2,1.104
201,1,17,15,8,2,2,1.2319
201,1,17,16,16,2,2,0.86307
201,1,17,17,12,1,1,1.0724
201,1,17,18,16,2,2,0.95216
201,1,18,1,8,1,1,1.0431
201,1,18,2,8,1,1,1.3441
201,1,18,3,12,2,2,1.2798
201,1,18,4,16,2,2,1.1118
201,1,18,5,16,1,1,1.4637
201,1,18,6,12,2,2,0.975
201,1,18,7,12,1,1,1.6155
201,1,18,8,16,1,1,1.1594
201,1,18,9,8,2,2,1.2404
201,1,18,10,12,1,1,1.4231
201,1,18,11,16,2,1,1.896
201,1,18,12,16,1,1,1.3362
201,1,18,13,8,1,1,1.0869
201,1,18,14,12,1,1,1.431
201,1,18,15,12,1,1,0.98427
201,1,18,16,8,2,2,0.74361
201,1,18,17,8,2,2,0.99988
201,1,18,18,16,1,1,0.89535
201,1,19,1,16,2,2,1.1073
201,1,19,2,12,2,1,1.5607
201,1,19,3,12,2,2,1.0552
201,1,19,4,12,2,2,0.93531
201,1,19,5,12,2,1,1.6077
201,1,19,6,16,2,2,0.90369
201,1,19,7,8,1,1,1.8164
201,1,19,8,16,2,2,1.1112
201,1,19,9,12,1,1,1.2314
201,1,19,10,16,2,2,1.4637
201,1,19,11,8,2,2,1.1039
201,1,19,12,16,2,2,0.83971
201,1,19,13,8,1,1,0.93593
201,1,19,14,8,1,1,0.98427
201,1,19,15,8,1,1,1.0796
201,1,19,16,12,1,1,1.3601
201,1,19,17,16,1,1,1.1116
201,1,19,18,8,1,1,1.2641
201,1,20,1,16,1,1,1.6672
201,1,20,2,16,1,1,0.97507
201,1,20,3,8,1,1,1.2649
201,1,20,4,16,2,2,0.66311
201,1,20,5,8,2,2,0.72036
201,1,20,6,12,2,2,1.0003
201,1,20,7,12,1,1,0.90324
201,1,20,8,16,2,2,1.1278
201,1,20,9,8,2,2,0.70365
201,1,20,10,8,1,1,0.92829
201,1,20,11,12,1,1,1.2
201,1,20,12,12,1,1,0.67131
201,1,20,13,12,1,1,1.0077
201,1,20,14,8,2,2,0.82425
201,1,20,15,16,1,1,0.91113
201,1,20,16,8,1,1,1.2806
201,1,20,17,12,1,1,1.6798
201,1,20,18,16,1,1,1.4163
201,1,21,1,8,1,1,1.0924
201,1,21,2,8,2,2,1.0082
201,1,21,3,16,2,2,0.97534
201,1,21,4,8,1,1,1.0007
201,1,21,5,12,1,1,1.1514
201,1,21,6,12,2,2,1.3759
201,1,21,7,12,1,1,0.9755
201,1,21,8,8,2,2,0.63207
201,1,21,9,16,1,1,1.4876
201,1,21,10,8,1,1,1.2396
201,1,21,11,8,1,1,1.4086
201,1,21,12,16,1,1,1.9997
201,1,21,13,16,1,2,1.3439
201,1,21,14,16,1,1,1.384
201,1,21,15,12,1,1,1.247
201,1,21,16,12,1,1,0.93533
201,1,21,17,16,2,1,0.7997
201,1,21,18,12,2,2,0.98351
201,1,22,1,12,2,2,0.91542
201,1,22,2,8,1,1,0.72034
201,1,22,3,12,1,1,1.2873
201,1,22,4,16,1,1,0.84724
201,1,22,5,16,2,2,1.7353
201,1,22,6,16,2,2,1.2236
201,1,22,7,8,1,1,0.88807
