sub,sess,run,trial_num,cond,shape_stim,shape_resp,shape_RT,shape_acc,sound_stim,sound_resp,sound_RT,sound_acc
101,1,6,10,2,NaN,0,NaN,0,2,2,0.72584,1
101,1,6,11,3,2,2,1.7936,1,1,1,1.8556,1
101,1,6,12,2,NaN,0,NaN,0,1,1,0.79096,1
101,1,6,13,1,2,2,1.5539,1,NaN,0,NaN,0
101,1,6,14,1,2,2,0.80154,1,NaN,0,NaN,0
101,1,6,15,2,NaN,0,NaN,0,2,2,1.1117,1
101,1,6,16,3,1,0,-5701.3,0,2,2,0.69482,1
101,1,6,17,3,1,1,1.3391,1,2,2,1.3411,1
101,1,6,18,3,2,2,1.5391,1,2,2,1.4671,1
107,1,1,1,3,2,2,2.2512,1,1,2,2.1432,0
107,1,1,2,3,2,2,1.0972,1,2,2,1.0742,1
107,1,1,3,1,1,1,1.2342,1,NaN,0,NaN,0
107,1,1,4,3,1,1,2.1192,1,1,1,2.1423,1
107,1,1,5,3,1,1,2.0369,1,2,2,2.0389,1
107,1,1,6,1,1,1,1.0313,1,NaN,0,NaN,0
107,1,1,7,2,NaN,0,NaN,0,1,1,1.9735,1
107,1,1,8,2,NaN,0,NaN,0,2,2,1.8173,1
107,1,1,9,1,2,1,1.1825,0,NaN,0,NaN,0
107,1,1,10,2,NaN,0,NaN,0,2,1,1.3252,0
107,1,1,11,3,2,2,2.6964,1,2,2,2.6394,1
107,1,1,12,2,NaN,0,NaN,0,1,1,1.5386,1
107,1,1,13,1,2,1,1.4493,0,NaN,0,NaN,0
107,1,1,14,2,NaN,0,NaN,0,2,2,1.3717,1
107,1,1,15,2,NaN,0,NaN,0,1,1,1.516,1
107,1,1,16,1,1,1,1.0156,1,NaN,0,NaN,0
107,1,1,17,3,2,2,2.8368,1,1,1,2.8258,1
107,1,1,18,1,1,1,0.9417,1,NaN,0,NaN,0
107,1,2,1,1,1,1,0.79753,1,NaN,0,NaN,0
107,1,2,2,2,NaN,0,NaN,0,1,1,1.4187,1
107,1,2,3,3,2,2,2.7265,1,2,2,2.6445,1
107,1,2,4,3,1,1,2.7384,1,2,2,2.7594,1
107,1,2,5,1,1,1,0.92131,1,NaN,0,NaN,0
107,1,2,6,3,2,2,2.5446,1,1,1,2.5696,1
107,1,2,7,1,1,1,0.81191,1,NaN,0,NaN,0
107,1,2,8,2,NaN,0,NaN,0,2,2,1.295,1
107,1,2,9,1,2,2,1.9213,1,NaN,0,NaN,0
107,1,2,10,3,2,2,1.9846,1,1,1,2.0026,1
107,1,2,11,1,1,1,0.89436,1,NaN,0,NaN,0
107,1,2,12,2,NaN,0,NaN,0,1,1,1.5753,1
107,1,2,13,1,2,2,2.3874,1,NaN,0,NaN,0
107,1,2,14,2,NaN,0,NaN,0,1,1,1.2833,1
107,1,2,15,3,1,1,1.9534,1,2,2,1.9654,1
107,1,2,16,3,2,2,1.6564,1,2,2,1.6624,1
107,1,2,17,2,NaN,0,NaN,0,2,2,0.97903,1
107,1,2,18,2,NaN,0,NaN,0,1,1,1.2703,1
107,1,3,1,1,2,2,1.3301,1,NaN,0,NaN,0
107,1,3,2,1,1,1,0.92118,1,NaN,0,NaN,0
107,1,3,3,2,NaN,0,NaN,0,2,2,1.1693,1
107,1,3,4,1,1,1,0.80422,1,NaN,0,NaN,0
107,1,3,5,3,2,2,1.5063,1,2,2,1.4783,1
107,1,3,6,2,NaN,0,NaN,0,1,1,1.2658,1
107,1,3,7,2,NaN,0,NaN,0,1,1,1.0912,1
107,1,3,8,1,2,2,1.2203,1,NaN,0,NaN,0
107,1,3,9,2,NaN,0,NaN,0,2,2,1.0134,1
107,1,3,10,2,NaN,0,NaN,0,2,2,1.0223,1
107,1,3,11,3,1,1,2.1289,1,1,1,2.2089,1
107,1,3,12,3,1,1,1.101,1,1,1,1.152,1
107,1,3,13,1,1,1,1.0062,1,NaN,0,NaN,0
107,1,3,14,1,2,2,1.4782,1,NaN,0,NaN,0
107,1,3,15,3,2,2,2.1292,1,2,2,2.1132,1
107,1,3,16,3,1,1,2.0591,1,1,1,2.1031,1
107,1,3,17,2,NaN,0,NaN,0,2,2,1.3412,1
107,1,3,18,3,2,2,2.8378,1,1,1,2.8188,1
107,1,4,1,2,NaN,0,NaN,0,2,2,0.93464,1
107,1,4,2,3,2,2,1.5941,1,2,2,1.5861,1
107,1,4,3,1,2,2,1.3529,1,NaN,0,NaN,0
107,1,4,4,1,2,2,0.79302,1,NaN,0,NaN,0
107,1,4,5,1,1,1,0.99301,1,NaN,0,NaN,0
107,1,4,6,3,1,1,2.082,1,2,2,2.103,1
107,1,4,7,3,2,2,3.0891,1,1,1,3.0521,1
107,1,4,8,3,1,1,2.8551,1,1,1,2.8811,1
107,1,4,9,1,1,1,0.87232,1,NaN,0,NaN,0
107,1,4,10,1,1,1,0.73611,1,NaN,0,NaN,0
107,1,4,11,2,NaN,0,NaN,0,1,1,1.4672,1
107,1,4,12,3,1,1,2.9892,1,1,1,3.0442,1
107,1,4,13,2,NaN,0,NaN,0,1,1,1.0785,1
107,1,4,14,2,NaN,0,NaN,0,1,1,0.70188,1
107,1,4,15,2,NaN,0,NaN,0,2,2,0.864,1
107,1,4,16,1,2,2,1.0129,1,NaN,0,NaN,0
107,1,4,17,2,NaN,0,NaN,0,2,2,1.0399,1
107,1,4,18,3,2,2,1.6561,1,2,2,1.6781,1
107,1,5,1,3,1,1,2.2239,1,2,2,2.2019,1
107,1,5,2,3,1,1,2.7905,1,1,1,2.7765,1
107,1,5,3,1,1,1,1.1864,1,NaN,0,NaN,0
107,1,5,4,1,1,1,0.73712,1,NaN,0,NaN,0
107,1,5,5,1,1,1,0.57371,1,NaN,0,NaN,0
107,1,5,6,2,NaN,0,NaN,0,2,2,1.1678,1
107,1,5,7,2,NaN,0,NaN,0,1,1,1.0368,1
107,1,5,8,3,2,2,2.613,1,1,1,2.386,1
107,1,5,9,2,NaN,0,NaN,0,2,2,1.0572,1
107,1,5,10,3,2,2,1.5457,1,2,2,1.5247,1
