sub,condition,cvRatio,group,cort_to_Put,cort_to_CN
101,MT1,0.8279453005087601,practice,0.752828099727379,-0.698470127556358
101,MT2,0.7928143436708324,practice,0.752828099727379,-0.698470127556358
104,MT1,0.6211187225902008,practice,-1.49472258837961,0.446773296492803
104,MT2,0.7968947502946714,practice,-1.49472258837961,0.446773296492803
105,MT1,1.5712429768417273,practice,-0.608077900334083,-1.59781204126809
105,MT2,1.2924253100052991,practice,-0.608077900334083,-1.59781204126809
107,MT1,1.1063265041664332,practice,1.14807748778526,0.288765952877068
107,MT2,1.0953127108502172,practice,1.14807748778526,0.288765952877068
108,MT1,0.8226446109570821,practice,0.710704462040116,-0.0179460858967451
108,MT2,0.8106269243084665,practice,0.710704462040116,-0.0179460858967451
110,MT1,0.7786798613076388,practice,-0.460032612126875,0.324373550777549
110,MT2,0.7710305628030875,practice,-0.460032612126875,0.324373550777549
111,MT1,1.0054412309591438,practice,-0.590715484131857,0.863219523113641
111,MT2,0.8227306576973004,practice,-0.590715484131857,0.863219523113641
112,MT1,1.0293113249348795,practice,1.38918930022805,-1.82052027673996
112,MT2,0.9993588088822798,practice,1.38918930022805,-1.82052027673996
113,MT1,1.1163992114143522,practice,-1.85470616799903,-0.639749612250895
113,MT2,1.107406068334117,practice,-1.85470616799903,-0.639749612250895
114,MT1,0.871325620903731,practice,0.203774672876373,1.21456253093143
114,MT2,0.8573459027157228,practice,0.203774672876373,1.21456253093143
115,MT1,0.5605286332806331,practice,-0.499509351075311,0.243681396190288
115,MT2,0.5342810309571729,practice,-0.499509351075311,0.243681396190288
117,MT1,1.0777216860969345,practice,-0.704451044586437,-0.572852256329148
117,MT2,0.7379290481024529,practice,-0.704451044586437,-0.572852256329148
118,MT1,1.6549261947732576,practice,-0.852409080639774,0.359598715626993
119,MT1,1.0970219164315353,practice,0.390332020487801,0.911101558665403
119,MT2,0.7827771882958999,practice,0.390332020487801,0.911101558665403
120,MT1,0.4930036226637249,practice,1.52627293500657,0.631507812513872
120,MT2,0.4894599360380636,practice,1.52627293500657,0.631507812513872
121,MT1,0.49957921306948416,practice,-0.53096077541706,0.582442748538482
121,MT2,0.4957459617282903,practice,-0.53096077541706,0.582442748538482
122,MT1,1.3692623614273758,practice,-0.370242311853698,-0.992177733935694
122,MT2,1.1879407028753148,practice,-0.370242311853698,-0.992177733935694
123,MT1,0.8513972668147105,practice,-0.266104322081583,1.99561832571339
123,MT2,0.7513700148735551,practice,-0.266104322081583,1.99561832571339
124,MT1,0.7982139065987359,practice,-0.252130566123317,-0.179423323093696
124,MT2,0.8636598737596045,practice,-0.252130566123317,-0.179423323093696
126,MT1,0.6706390828159403,practice,-0.182669321970157,0.912013311307516
126,MT2,0.5166693902708636,practice,-0.182669321970157,0.912013311307516
127,MT1,1.05387854379174,practice,0.996259385466626,-0.183930856821656
127,MT2,1.1024200357243628,practice,0.996259385466626,-0.183930856821656
129,MT1,1.449697890639538,practice,0.206445368202492,-0.248037914561443
129,MT2,1.2287137843628495,practice,0.206445368202492,-0.248037914561443
130,MT1,1.033180453748054,practice,-0.428253999669856,-0.6730635554503
130,MT2,1.0345133790757104,practice,-0.428253999669856,-0.6730635554503
131,MT1,0.9150509029854709,practice,-0.569508210993138,-0.122098995317909
131,MT2,0.9449232537037496,practice,-0.569508210993138,-0.122098995317909
132,MT1,0.8853865763036232,practice,0.535886890988757,1.42609532827933
132,MT2,0.9714569239709693,practice,0.535886890988757,1.42609532827933
134,MT1,0.6838941261215006,practice,0.598675918122274,0.130075193245453
134,MT2,0.6553457789802644,practice,0.598675918122274,0.130075193245453
135,MT1,0.770351662392037,practice,0.525950724670399,-0.353739463838977
135,MT2,0.7511200682928508,practice,0.525950724670399,-0.353739463838977
137,MT1,0.7228313907954602,practice,-0.709192872683812,0.00873732081301156
137,MT2,0.53478286690742,practice,-0.709192872683812,0.00873732081301156
138,MT1,0.7985279516478232,practice,0.0276769354291938,1.07994673443963
138,MT2,0.7917605260540544,practice,0.0276769354291938,1.07994673443963
139,MT1,0.9519956786682578,practice,-1.58019234145429,0.546383191984895
139,MT2,0.9387094983332259,practice,-1.58019234145429,0.546383191984895
140,MT1,1.1732373850715285,practice,1.57619707320767,0.281802546421419
140,MT2,0.9864617702399118,practice,1.57619707320767,0.281802546421419
141,MT1,0.7643391410996595,practice,0.397319956640325,1.24135992759136
141,MT2,0.9721268484051903,practice,0.397319956640325,1.24135992759136
142,MT1,1.6254253055301786,practice,1.49162437232094,-0.585713654884981
142,MT2,1.5236728649979467,practice,1.49162437232094,-0.585713654884981
145,MT1,0.722272676327225,practice,1.72902999125318,-1.31513907818317
145,MT2,0.683074109187329,practice,1.72902999125318,-1.31513907818317
146,MT1,0.8462166244283017,practice,-1.44366093963327,-0.0755531404085394
146,MT2,0.681632599296557,practice,-1.44366093963327,-0.0755531404085394
147,MT1,1.0869938195798643,practice,0.809779029001763,-0.237888734778271
147,MT2,0.9271261912533156,practice,0.809779029001763,-0.237888734778271
